server_generation,action_string,score,slots_size,score_per_slot
GPU.S3,"GPU.S3|buy-dismiss|DC3,1.0-96",1125489.799194927,4,281372.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.95-96",1125489.799194927,4,281372.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.9-96",1125489.799194927,4,281372.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC4,1.0-96",1085169.799194927,4,271292.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.95-96",1085169.799194927,4,271292.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.9-96",1085169.799194927,4,271292.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC2,1.0-96",1078449.799194927,4,269612.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.95-96",1078449.799194927,4,269612.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.9-96",1078449.799194927,4,269612.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.85-96",1073649.799194927,4,268412.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.85-96",1033329.7991949271,4,258332.44979873177
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.85-96",1031409.7991949271,4,257852.44979873177
GPU.S3,"GPU.S3|buy-dismiss|DC3,1.0-84",994588.4967229596,4,248647.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.95-84",994588.4967229596,4,248647.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.9-84",994588.4967229596,4,248647.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.8-96",969969.7991949271,4,242492.44979873177
GPU.S3,"GPU.S3|buy-dismiss|DC4,1.0-84",959308.4967229596,4,239827.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.95-84",959308.4967229596,4,239827.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.9-84",959308.4967229596,4,239827.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC2,1.0-84",953428.4967229596,4,238357.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.95-84",953428.4967229596,4,238357.1241807399
