server_generation,action_string,score,slots_size,score_per_slot
GPU.S3,"GPU.S3|buy-dismiss|DC3,1.0-96",1384689.7991949269,4,346172.4497987317
GPU.S3,"GPU.S3|buy-dismiss|DC4,1.0-96",1344369.7991949269,4,336092.4497987317
GPU.S3,"GPU.S3|buy-dismiss|DC2,1.0-96",1313649.7991949269,4,328412.4497987317
GPU.S3,"GPU.S3|buy-dismiss|DC3,1.0-84",1221388.4967229592,4,305347.1241807398
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.95-96",1216959.3092351807,4,304239.8273087952
GPU.S3,"GPU.S3|buy-dismiss|DC4,1.0-84",1186108.4967229597,4,296527.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.95-96",1178655.3092351807,4,294663.8273087952
GPU.S3,"GPU.S3|buy-dismiss|DC2,1.0-84",1159228.4967229597,4,289807.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.95-96",1158591.3092351807,4,289647.8273087952
GPU.S3,"GPU.S3|buy-dismiss|DC1,1.0-96",1123569.799194927,4,280892.4497987318
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.95-84",1074135.0718868116,4,268533.7679717029
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.9-96",1059596.8192754346,4,264899.20481885865
GPU.S3,"GPU.S3|buy-dismiss|DC3,1.0-72",1045328.0350182466,4,261332.00875456166
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.95-84",1040619.0718868115,4,260154.76797170288
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.9-96",1023308.8192754345,4,255827.20481885862
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.95-84",1023063.0718868115,4,255765.76797170288
GPU.S3,"GPU.S3|buy-dismiss|DC4,1.0-72",1015088.0350182466,4,253772.00875456166
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.9-96",1012940.8192754345,4,253235.20481885862
GPU.S3,"GPU.S3|buy-dismiss|DC1,1.0-84",992908.4967229596,4,248227.1241807399
GPU.S3,"GPU.S3|buy-dismiss|DC2,1.0-72",992048.0350182466,4,248012.00875456166
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.95-96",988959.3092351807,4,247239.82730879518
GPU.S2,"GPU.S2|buy-dismiss|DC3,1.0-96",975323.5742955613,4,243830.89357389032
GPU.S2,"GPU.S2|buy-dismiss|DC4,1.0-96",946523.5742955613,4,236630.89357389032
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.9-84",935953.6470506636,4,233988.4117626659
GPU.S1,"GPU.S1|buy-dismiss|DC3,1.0-96",932677.3493961953,4,233169.33734904882
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.95-72",919189.6332673343,4,229797.40831683358
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.85-96",912602.329315688,4,228150.582328922
GPU.S2,"GPU.S2|buy-dismiss|DC2,1.0-96",908123.5742955613,4,227030.89357389032
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.9-84",904201.6470506636,4,226050.4117626659
GPU.S1,"GPU.S1|buy-dismiss|DC4,1.0-96",903877.3493961953,4,225969.33734904882
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.9-84",895129.6470506636,4,223782.4117626659
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.95-72",890461.6332673344,4,222615.4083168336
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.85-96",878330.329315688,4,219582.582328922
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.85-96",876698.329315688,4,219174.582328922
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.95-72",875413.6332673344,4,218853.4083168336
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.95-84",874635.0718868115,4,218658.76797170288
GPU.S1,"GPU.S1|buy-dismiss|DC2,1.0-96",869317.3493961953,4,217329.33734904882
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.9-96",862604.8192754344,4,215651.2048188586
GPU.S2,"GPU.S2|buy-dismiss|DC3,1.0-84",861969.9346325897,4,215492.48365814742
GPU.S3,"GPU.S3|buy-dismiss|DC3,1.0-60",858045.7977488013,4,214511.44943720032
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.95-96",853597.3955807831,4,213399.34889519578
GPU.S3,"GPU.S3|buy-dismiss|DC1,1.0-72",849488.0350182467,4,212372.00875456168
GPU.S2,"GPU.S2|buy-dismiss|DC4,1.0-84",836769.9346325897,4,209192.48365814742
GPU.S3,"GPU.S3|buy-dismiss|DC4,1.0-60",832845.7977488013,4,208211.44943720032
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.95-96",826237.3955807831,4,206559.34889519578
GPU.S1,"GPU.S1|buy-dismiss|DC3,1.0-84",823431.3725422197,4,205857.84313555493
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.95-96",817643.4819263855,4,204410.8704815964
GPU.S3,"GPU.S3|buy-dismiss|DC2,1.0-60",813645.7977488013,4,203411.44943720032
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.85-84",806844.2222145157,4,201711.05555362892
GPU.S2,"GPU.S2|buy-dismiss|DC2,1.0-84",803169.9346325897,4,200792.48365814742
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.9-72",800827.231516422,4,200206.8078791055
GPU.S1,"GPU.S1|buy-dismiss|DC4,1.0-84",798231.3725422197,4,199557.84313555493
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.95-96",797053.3955807831,4,199263.34889519578
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.95-96",790283.4819263855,4,197570.8704815964
GPU.S2,"GPU.S2|buy-dismiss|DC1,1.0-96",783323.5742955613,4,195830.89357389032
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.85-84",776856.2222145157,4,194214.05555362892
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.8-96",775975.8393559416,4,193993.9598389854
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.85-84",775428.2222145157,4,193857.05555362892
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.9-72",773611.231516422,4,193402.8078791055
GPU.S1,"GPU.S1|buy-dismiss|DC2,1.0-84",767991.3725422197,4,191997.84313555493
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.9-72",765835.231516422,4,191458.8078791055
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.95-96",764565.0819263856,4,191141.2704815964
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.9-84",763585.6470506636,4,190896.4117626659
GPU.S1,"GPU.S1|buy-dismiss|DC1,1.0-96",759877.3493961953,4,189969.33734904882
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.95-84",755031.4379009602,4,188757.85947524005
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.95-60",753583.5078613613,4,188395.8769653403
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.8-96",749863.8393559416,4,187465.9598389854
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.95-72",748189.6332673344,4,187047.4083168336
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.85-96",744506.329315688,4,186126.582328922
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.8-96",743719.8393559416,4,185929.9598389854
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.9-96",739551.2168660052,4,184887.8042165013
GPU.S2,"GPU.S2|buy-dismiss|DC3,1.0-72",737452.0306409659,4,184363.00766024148
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.95-84",731091.4379009602,4,182772.85947524005
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.95-60",729643.5078613613,4,182410.8769653403
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.95-84",722409.8039151088,4,180602.4509787772
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.95-60",717103.5078613613,4,179275.8769653403
GPU.S2,"GPU.S2|buy-dismiss|DC4,1.0-72",715852.0306409659,4,178963.00766024148
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.9-96",713631.2168660052,4,178407.8042165013
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.9-96",709809.6144565758,4,177452.40361414396
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.95-84",705555.4379009602,4,176388.85947524005
GPU.S1,"GPU.S1|buy-dismiss|DC3,1.0-72",704616.026263685,4,176154.00656592124
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.95-84",698469.8039151088,4,174617.4509787772
GPU.S3,"GPU.S3|buy-dismiss|DC1,1.0-60",694845.7977488013,4,173711.44943720032
GPU.S2,"GPU.S2|buy-dismiss|DC1,1.0-84",693969.9346325897,4,173492.48365814742
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.9-96",692895.2168660052,4,173223.8042165013
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.85-72",690240.8297655097,4,172560.20744137742
CPU.S4,"CPU.S4|buy-dismiss|DC3,1.0-96",344746.1639803423,2,172373.08199017114
GPU.S2,"GPU.S2|buy-dismiss|DC2,1.0-72",687052.0306409659,4,171763.00766024148
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.8-84",686806.7973783677,4,171701.69934459194
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.95-96",685789.3955807831,4,171447.34889519578
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.9-96",683889.6144565758,4,170972.40361414396
GPU.S1,"GPU.S1|buy-dismiss|DC4,1.0-72",683016.026263685,4,170754.00656592124
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.95-84",675966.2039151088,4,168991.5509787772
GPU.S1,"GPU.S1|buy-dismiss|DC1,1.0-84",672231.3725422197,4,168057.84313555493
CPU.S4,"CPU.S4|buy-dismiss|DC4,1.0-96",335914.1639803423,2,167957.08199017114
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.95-96",667163.4819263854,4,166790.87048159636
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.9-96",666264.0144565757,4,166566.00361414393
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.85-72",664536.8297655097,4,166134.20744137742
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.8-84",663958.7973783677,4,165989.69934459194
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.85-72",663312.8297655097,4,165828.20744137742
GPU.S3,"GPU.S3|buy-dismiss|DC3,1.0-48",661360.8847881556,4,165340.2211970389
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.85-84",659760.2222145157,4,164940.05555362892
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.8-84",658582.7973783677,4,164645.69934459194
GPU.S1,"GPU.S1|buy-dismiss|DC2,1.0-72",657096.026263685,4,164274.00656592124
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.9-60",655601.2179739213,4,163900.30449348033
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.9-84",654812.9411693306,4,163703.23529233265
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.9-72",653083.231516422,4,163270.8078791055
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.75-96",649717.3493961953,4,162429.33734904882
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.95-72",645859.4291089176,4,161464.8572772294
GPU.S3,"GPU.S3|buy-dismiss|DC4,1.0-48",641200.8847881556,4,160300.2211970389
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.8-96",634663.8393559416,4,158665.9598389854
GPU.S2,"GPU.S2|buy-dismiss|DC3,0.85-96",633185.038151227,4,158296.25953780676
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.9-60",632921.2179739213,4,158230.30449348033
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.75-96",632437.3493961953,4,158109.33734904882
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.9-84",632132.9411693306,4,158033.23529233265
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.9-84",627688.2352879976,4,156922.0588219994
GPU.S3,"GPU.S3|buy-dismiss|DC2,0.9-60",626441.2179739213,4,156610.30449348033
GPU.S3,"GPU.S3|buy-dismiss|DC2,1.0-48",625840.8847881556,4,156460.2211970389
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.95-72",625339.4291089175,4,156334.85727722937
GPU.S3,"GPU.S3|buy-dismiss|DC4,0.75-96",619477.3493961953,4,154869.33734904882
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.95-72",618085.2249505008,4,154521.3062376252
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.9-84",613988.9411693306,4,153497.23529233265
CPU.S4,"CPU.S4|buy-dismiss|DC3,0.95-96",305620.85578132514,2,152810.42789066257
GPU.S3,"GPU.S3|buy-dismiss|DC1,0.95-60",611083.5078613613,4,152770.8769653403
GPU.S1,"GPU.S1|buy-dismiss|DC3,0.85-96",609175.746986766,4,152293.9367466915
GPU.S2,"GPU.S2|buy-dismiss|DC4,0.85-96",608705.038151227,4,152176.25953780676
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.95-84",608199.4379009602,4,152049.85947524005
CPU.S4,"CPU.S4|buy-dismiss|DC3,1.0-84",302993.48510188697,2,151496.74255094348
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.9-84",605008.2352879976,4,151252.0588219994
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.95-72",603451.4291089175,4,150862.85727722937
GPU.S2,"GPU.S2|buy-dismiss|DC3,1.0-60",603115.0730302013,4,150778.7682575503
GPU.S1,"GPU.S1|buy-dismiss|DC4,0.95-72",597565.2249505008,4,149391.3062376252
GPU.S2,"GPU.S2|buy-dismiss|DC2,0.85-96",595649.038151227,4,148912.25953780676
CPU.S4,"CPU.S4|buy-dismiss|DC4,0.95-96",297230.4557813251,2,148615.22789066256
GPU.S2,"GPU.S2|buy-dismiss|DC1,0.9-96",594399.2168660051,4,148599.80421650127
GPU.S2,"GPU.S2|buy-dismiss|DC1,1.0-72",593452.0306409659,4,148363.00766024148
GPU.S1,"GPU.S1|buy-dismiss|DC1,0.95-84",590739.8039151088,4,147684.9509787772
CPU.S4,"CPU.S4|buy-dismiss|DC4,1.0-84",295265.485101887,2,147632.7425509435
GPU.S1,"GPU.S1|buy-dismiss|DC2,0.9-84",589585.8352879977,4,147396.45882199943
GPU.S3,"GPU.S3|buy-dismiss|DC3,0.8-72",587430.4280145974,4,146857.60700364935
